id,platform,category,model,avg_f1,Benefits_f1,Brand_f1,Color_f1,Department_f1,Material_f1,Model_f1,Object_f1,Power Mode_f1,Price_f1,Size_f1,Skin/Hair Type_f1,Style_f1,Volume_f1
ht-am-fa-1,amazon,fashion,llama_zeroshot,0.625,,1.0,1.0,1.0,1.0,,1.0,,0.0,0.0,,0.0,
ht-am-fa-1,amazon,fashion,mistral_zeroshot,0.4707,,0.6667,0.75,0.5714,0.6667,,0.6667,,0.0,0.1111,,0.3333,
ht-am-fa-1,amazon,fashion,qwen_zeroshot,0.9583,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,0.6667,
ht-am-fa-1,amazon,fashion,llama_fewshot,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,
ht-am-fa-1,amazon,fashion,mistral_fewshot,0.875,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,0.0,
ht-am-fa-1,amazon,fashion,qwen_fewshot,0.625,,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0,,0.0,
ht-am-fa-2,amazon,fashion,llama_zeroshot,0.25,,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,,1.0,
ht-am-fa-2,amazon,fashion,mistral_zeroshot,0.25,,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,,1.0,
ht-am-fa-2,amazon,fashion,qwen_zeroshot,0.8,,1.0,0.4,1.0,1.0,,0.0,,1.0,1.0,,1.0,
ht-am-fa-2,amazon,fashion,llama_fewshot,0.675,,1.0,0.4,1.0,0.0,,0.0,,1.0,1.0,,1.0,
ht-am-fa-2,amazon,fashion,mistral_fewshot,0.8,,1.0,0.4,1.0,1.0,,0.0,,1.0,1.0,,1.0,
ht-am-fa-2,amazon,fashion,qwen_fewshot,0.7583,,1.0,0.4,0.6667,1.0,,0.0,,1.0,1.0,,1.0,
ht-am-fa-3,amazon,fashion,llama_zeroshot,0.4048,,1.0,0.5714,1.0,0.6667,,0.0,,0.0,0.0,,0.0,
ht-am-fa-3,amazon,fashion,mistral_zeroshot,0.619,,1.0,1.0,1.0,0.2857,,0.6667,,0.0,0.0,,1.0,
ht-am-fa-3,amazon,fashion,qwen_zeroshot,0.8214,,1.0,1.0,1.0,1.0,,0.5714,,1.0,0.0,,1.0,
ht-am-fa-3,amazon,fashion,llama_fewshot,0.1667,,0.0,0.0,0.0,0.3333,,0.0,,0.0,0.0,,1.0,
ht-am-fa-3,amazon,fashion,mistral_fewshot,0.7083,,1.0,1.0,1.0,1.0,,0.6667,,1.0,0.0,,0.0,
ht-am-fa-3,amazon,fashion,qwen_fewshot,0.8333,,1.0,1.0,1.0,1.0,,0.6667,,1.0,0.0,,1.0,
ht-am-fa-4,amazon,fashion,llama_zeroshot,0.25,,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,1.0,
ht-am-fa-4,amazon,fashion,mistral_zeroshot,0.6635,,1.0,0.2,1.0,0.8,,0.3077,,0.0,1.0,,1.0,
ht-am-fa-4,amazon,fashion,qwen_zeroshot,0.6083,,1.0,0.2,1.0,1.0,,0.6667,,0.0,0.0,,1.0,
ht-am-fa-4,amazon,fashion,llama_fewshot,0.125,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,1.0,
